concept,type,df_count,df_fraction,status
fish analysis,SURFACE,1,0.025,KEPT
fisherman,SURFACE,1,0.025,KEPT
fixation,SURFACE,1,0.025,KEPT
fixed flexion,SURFACE,1,0.025,KEPT
fl/ac,SURFACE,1,0.025,KEPT
flare,SURFACE,1,0.025,KEPT
flash full-field electroretinography,SURFACE,1,0.025,KEPT
flashing lights,SURFACE,1,0.025,KEPT
flat feet,SURFACE,1,0.025,KEPT
flexed knee,SURFACE,1,0.025,KEPT
flexibility,SURFACE,1,0.025,KEPT
flexion contracture,SURFACE,1,0.025,KEPT
flexion crease,SURFACE,1,0.025,KEPT
flow cytometry,SURFACE,1,0.025,KEPT
fluconazole,SURFACE,1,0.025,KEPT
fluctuating,SURFACE,1,0.025,KEPT
fluid,SURFACE,1,0.025,KEPT
fluid shifts,SURFACE,1,0.025,KEPT
fluid-filled,SURFACE,1,0.025,KEPT
fluorescein angiography**,SURFACE,1,0.025,KEPT
fluorescein staining,SURFACE,1,0.025,KEPT
fluorescein staining**,SURFACE,1,0.025,KEPT
fmf**,SURFACE,1,0.025,KEPT
fmq,SURFACE,1,0.025,KEPT
fna,SURFACE,1,0.025,KEPT
focal cortical dysplasia,SURFACE,1,0.025,KEPT
focal epilepsy,SURFACE,1,0.025,KEPT
focal limb deficiency,SURFACE,1,0.025,KEPT
focal spikes,SURFACE,1,0.025,KEPT
foci,SURFACE,1,0.025,KEPT
focused,SURFACE,1,0.025,KEPT
focused assessment,SURFACE,1,0.025,KEPT
focused imaging,SURFACE,1,0.025,KEPT
folds,SURFACE,1,0.025,KEPT
follow up with,SURFACE,1,0.025,KEPT
follow with **,SURFACE,1,0.025,KEPT
follow with **cma**,SURFACE,1,0.025,KEPT
"follow-up
4. **areas of disagreement**",SURFACE,1,0.025,KEPT
follow-up assessment,SURFACE,1,0.025,KEPT
follow-up assessments,SURFACE,1,0.025,KEPT
follow-up d-dimer testing,SURFACE,1,0.025,KEPT
follow-up imaging,SURFACE,1,0.025,KEPT
follow-up plan,SURFACE,1,0.025,KEPT
follow-up plan**,SURFACE,1,0.025,KEPT
follow-up plans,SURFACE,1,0.025,KEPT
follow-up plans**,SURFACE,1,0.025,KEPT
follow-up protocol,SURFACE,1,0.025,KEPT
follow-up renal ultrasound,SURFACE,1,0.025,KEPT
follow-up ultrasound,SURFACE,1,0.025,KEPT
followed up,SURFACE,1,0.025,KEPT
following,SURFACE,1,0.025,KEPT
food,SURFACE,1,0.025,KEPT
foremost,SURFACE,1,0.025,KEPT
forensic examinations,SURFACE,1,0.025,KEPT
forensic meteorological,SURFACE,1,0.025,KEPT
forensic specialists,SURFACE,1,0.025,KEPT
foresight,SURFACE,1,0.025,KEPT
formally **terminate**,SURFACE,1,0.025,KEPT
formally documented,SURFACE,1,0.025,KEPT
formations,SURFACE,1,0.025,KEPT
forms,SURFACE,1,0.025,KEPT
formula,SURFACE,1,0.025,KEPT
formulation,SURFACE,1,0.025,KEPT
foster,SURFACE,1,0.025,KEPT
fosters,SURFACE,1,0.025,KEPT
fovea,SURFACE,1,0.025,KEPT
foveal thinning,SURFACE,1,0.025,KEPT
fracture,SURFACE,1,0.025,KEPT
fractured,SURFACE,1,0.025,KEPT
fragile x syndrome,SURFACE,1,0.025,KEPT
fragility,SURFACE,1,0.025,KEPT
fragility fractures,SURFACE,1,0.025,KEPT
free thyroxine,SURFACE,1,0.025,KEPT
freezing,SURFACE,1,0.025,KEPT
frequent,SURFACE,1,0.025,KEPT
frequent falls,SURFACE,1,0.025,KEPT
fresh frozen,SURFACE,1,0.025,KEPT
friedreich's ataxia,SURFACE,1,0.025,KEPT
friedreich's ataxia** – a,SURFACE,1,0.025,KEPT
frontal bossing,SURFACE,1,0.025,KEPT
fsh,SURFACE,1,0.025,KEPT
full,SURFACE,1,0.025,KEPT
full metabolic panel,SURFACE,1,0.025,KEPT
functional assays,SURFACE,1,0.025,KEPT
functional assays**,SURFACE,1,0.025,KEPT
functional assessment,SURFACE,1,0.025,KEPT
functional fibrinogen,SURFACE,1,0.025,KEPT
functional gonads,SURFACE,1,0.025,KEPT
functional imaging,SURFACE,1,0.025,KEPT
functional impairment,SURFACE,1,0.025,KEPT
functional issues,SURFACE,1,0.025,KEPT
functional loss,SURFACE,1,0.025,KEPT
functional renal studies,SURFACE,1,0.025,KEPT
functional studies,SURFACE,1,0.025,KEPT
functionality,SURFACE,1,0.025,KEPT
functioning,SURFACE,1,0.025,KEPT
fundoplication,SURFACE,1,0.025,KEPT
fundus examination,SURFACE,1,0.025,KEPT
fundus examinations,SURFACE,1,0.025,KEPT
fundus fluorescein angiography,SURFACE,1,0.025,KEPT
fungi,SURFACE,1,0.025,KEPT
fungi)**,SURFACE,1,0.025,KEPT
further,SURFACE,1,0.025,KEPT
fvc,SURFACE,1,0.025,KEPT
g/day,SURFACE,1,0.025,KEPT
g=12.3,SURFACE,1,0.025,KEPT
g=5700g,SURFACE,1,0.025,KEPT
gabapentin,SURFACE,1,0.025,KEPT
gained,SURFACE,1,0.025,KEPT
gait,SURFACE,1,0.025,KEPT
gait difficulty,SURFACE,1,0.025,KEPT
gait pattern,SURFACE,1,0.025,KEPT
galactocerebrosidase deficiency,SURFACE,1,0.025,KEPT
galactose-containing oligosaccharides,SURFACE,1,0.025,KEPT
gamma ray surgery,SURFACE,1,0.025,KEPT
gangliosidosis,SURFACE,1,0.025,KEPT
gap,SURFACE,1,0.025,KEPT
garenoxacin,SURFACE,1,0.025,KEPT
gastric malignancies,SURFACE,1,0.025,KEPT
gastric malignancies**,SURFACE,1,0.025,KEPT
gastric tube,SURFACE,1,0.025,KEPT
gastro-esophageal reflux,SURFACE,1,0.025,KEPT
gastroenterologists,SURFACE,1,0.025,KEPT
gastroesophageal varices,SURFACE,1,0.025,KEPT
gastrointestinal,SURFACE,1,0.025,KEPT
gastrointestinal (,SURFACE,1,0.025,KEPT
gastrointestinal function,SURFACE,1,0.025,KEPT
gastrointestinal lesions,SURFACE,1,0.025,KEPT
gastrointestinal ones,SURFACE,1,0.025,KEPT
gastrointestinal symptoms,SURFACE,1,0.025,KEPT
"gastrointestinal symptoms.\"",\n\n",SURFACE,1,0.025,KEPT
gastrointestinal tract,SURFACE,1,0.025,KEPT
gastrointestinal tract**,SURFACE,1,0.025,KEPT
gathered,SURFACE,1,0.025,KEPT
gauging,SURFACE,1,0.025,KEPT
gaze,SURFACE,1,0.025,KEPT
gaze-evoked,SURFACE,1,0.025,KEPT
gene function,SURFACE,1,0.025,KEPT
gene issues,SURFACE,1,0.025,KEPT
gene panel,SURFACE,1,0.025,KEPT
gene panel results,SURFACE,1,0.025,KEPT
gene testing,SURFACE,1,0.025,KEPT
"gene.\""\n",SURFACE,1,0.025,KEPT
genealogy,SURFACE,1,0.025,KEPT
general endocrine function,SURFACE,1,0.025,KEPT
general health status,SURFACE,1,0.025,KEPT
general obesity,SURFACE,1,0.025,KEPT
general seizure,SURFACE,1,0.025,KEPT
general state of,SURFACE,1,0.025,KEPT
generalized 2\u20132.5,SURFACE,1,0.025,KEPT
generalized bradykinesia,SURFACE,1,0.025,KEPT
generalized dystonia,SURFACE,1,0.025,KEPT
generalized muscle wasting,SURFACE,1,0.025,KEPT
generalized paroxysmal fast activities,SURFACE,1,0.025,KEPT
generalized paroxysmal fast activity,SURFACE,1,0.025,KEPT
generalized seizure,SURFACE,1,0.025,KEPT
generalized slow spike-wave activity,SURFACE,1,0.025,KEPT
generalized syndromes,SURFACE,1,0.025,KEPT
generalized tonic seizures,SURFACE,1,0.025,KEPT
genes pertinent,SURFACE,1,0.025,KEPT
genesis,SURFACE,1,0.025,KEPT
genetic abnormalities,SURFACE,1,0.025,KEPT
genetic analyses,SURFACE,1,0.025,KEPT
genetic aspects,SURFACE,1,0.025,KEPT
genetic associations,SURFACE,1,0.025,KEPT
genetic backgrounds,SURFACE,1,0.025,KEPT
genetic basis,SURFACE,1,0.025,KEPT
genetic cause,SURFACE,1,0.025,KEPT
genetic clarification,SURFACE,1,0.025,KEPT
genetic concerns,SURFACE,1,0.025,KEPT
genetic confirmation,SURFACE,1,0.025,KEPT
genetic considerations**,SURFACE,1,0.025,KEPT
genetic consultation,SURFACE,1,0.025,KEPT
genetic counselor**,SURFACE,1,0.025,KEPT
genetic counselors**,SURFACE,1,0.025,KEPT
genetic deletions,SURFACE,1,0.025,KEPT
genetic diagnoses,SURFACE,1,0.025,KEPT
genetic diagnosis,SURFACE,1,0.025,KEPT
genetic diseases,SURFACE,1,0.025,KEPT
genetic disorders**,SURFACE,1,0.025,KEPT
genetic distinction,SURFACE,1,0.025,KEPT
genetic epilepsy,SURFACE,1,0.025,KEPT
genetic evidence,SURFACE,1,0.025,KEPT
genetic factor,SURFACE,1,0.025,KEPT
genetic imaging,SURFACE,1,0.025,KEPT
genetic information,SURFACE,1,0.025,KEPT
genetic inheritance,SURFACE,1,0.025,KEPT
genetic insights,SURFACE,1,0.025,KEPT
genetic issues,SURFACE,1,0.025,KEPT
genetic landscape,SURFACE,1,0.025,KEPT
genetic management,SURFACE,1,0.025,KEPT
genetic markers,SURFACE,1,0.025,KEPT
genetic myopathies,SURFACE,1,0.025,KEPT
genetic outpatient clinic,SURFACE,1,0.025,KEPT
genetic overlaps,SURFACE,1,0.025,KEPT
genetic panel**,SURFACE,1,0.025,KEPT
genetic perspective,SURFACE,1,0.025,KEPT
genetic prevalence,SURFACE,1,0.025,KEPT
genetic profile,SURFACE,1,0.025,KEPT
genetic results,SURFACE,1,0.025,KEPT
genetic risk factors,SURFACE,1,0.025,KEPT
genetic screen,SURFACE,1,0.025,KEPT
genetic screening,SURFACE,1,0.025,KEPT
genetic screening alongside,SURFACE,1,0.025,KEPT
genetic screening**,SURFACE,1,0.025,KEPT
genetic skeletal disorder,SURFACE,1,0.025,KEPT
genetic specialist,SURFACE,1,0.025,KEPT
genetic specialists,SURFACE,1,0.025,KEPT
genetic structure,SURFACE,1,0.025,KEPT
genetic testing consideration**,SURFACE,1,0.025,KEPT
genetic testing coordination**,SURFACE,1,0.025,KEPT
genetic testing methods,SURFACE,1,0.025,KEPT
genetic testing panel**,SURFACE,1,0.025,KEPT
genetic testing timelines,SURFACE,1,0.025,KEPT
genetic testing** and **genetic counseling** adds significant,SURFACE,1,0.025,KEPT
"genetic testing**, **detailed",SURFACE,1,0.025,KEPT
genetic underpinnings,SURFACE,1,0.025,KEPT
genetic variants,SURFACE,1,0.025,KEPT
genetic variations,SURFACE,1,0.025,KEPT
genetic verification,SURFACE,1,0.025,KEPT
geneticist specializing,SURFACE,1,0.025,KEPT
genetics**,SURFACE,1,0.025,KEPT
genital,SURFACE,1,0.025,KEPT
genome aggregation database,SURFACE,1,0.025,KEPT
genomic assays,SURFACE,1,0.025,KEPT
genomic dna,SURFACE,1,0.025,KEPT
genomic panels,SURFACE,1,0.025,KEPT
genomic studies,SURFACE,1,0.025,KEPT
genomic testing**,SURFACE,1,0.025,KEPT
genotype-phenotype correlation,SURFACE,1,0.025,KEPT
"genotypes.\"",\n  \""initial test results\",SURFACE,1,0.025,KEPT
genu valgum,SURFACE,1,0.025,KEPT
"geographic location.\"",\n  \""clinical",SURFACE,1,0.025,KEPT
geographical,SURFACE,1,0.025,KEPT
geographical background,SURFACE,1,0.025,KEPT
geographical context,SURFACE,1,0.025,KEPT
germline,SURFACE,1,0.025,KEPT
"gestation.\"",\n\n",SURFACE,1,0.025,KEPT
gestational,SURFACE,1,0.025,KEPT
gh therapy,SURFACE,1,0.025,KEPT
gh treatment,SURFACE,1,0.025,KEPT
giant cell,SURFACE,1,0.025,KEPT
giant cell arteritis,SURFACE,1,0.025,KEPT
gigantism,SURFACE,1,0.025,KEPT
gingivitis,SURFACE,1,0.025,KEPT
"girl.\"",\n\n",SURFACE,1,0.025,KEPT
given** to **lymph node,SURFACE,1,0.025,KEPT
glb1,SURFACE,1,0.025,KEPT
glb1 gene,SURFACE,1,0.025,KEPT
glean,SURFACE,1,0.025,KEPT
glild,SURFACE,1,0.025,KEPT
globe,SURFACE,1,0.025,KEPT
globoid cell leukodystrophy,SURFACE,1,0.025,KEPT
glomerular,SURFACE,1,0.025,KEPT
glutamyl transpeptidase,SURFACE,1,0.025,KEPT
glycaemic status,SURFACE,1,0.025,KEPT
glycogen storage disorders,SURFACE,1,0.025,KEPT
glycosylation,SURFACE,1,0.025,KEPT
glycosylation disorders,SURFACE,1,0.025,KEPT
glycosylation pathways,SURFACE,1,0.025,KEPT
glycosylation)—are,SURFACE,1,0.025,KEPT
gm1,SURFACE,1,0.025,KEPT
gm1 gangliosidosis**,SURFACE,1,0.025,KEPT
gmq,SURFACE,1,0.025,KEPT
gnrh,SURFACE,1,0.025,KEPT
goldenhar,SURFACE,1,0.025,KEPT
goldenhar syndrome,SURFACE,1,0.025,KEPT
gonadal dysgenesis,SURFACE,1,0.025,KEPT
gonadal dysgenesis**,SURFACE,1,0.025,KEPT
gonadal dysgenesis**.,SURFACE,1,0.025,KEPT
gone,SURFACE,1,0.025,KEPT
good,SURFACE,1,0.025,KEPT
gore-tex,SURFACE,1,0.025,KEPT
gorlin syndrome,SURFACE,1,0.025,KEPT
gout,SURFACE,1,0.025,KEPT
gout points,SURFACE,1,0.025,KEPT
gouty arthritis,SURFACE,1,0.025,KEPT
gpfa,SURFACE,1,0.025,KEPT
gpfas,SURFACE,1,0.025,KEPT
gradual vision,SURFACE,1,0.025,KEPT
granular,SURFACE,1,0.025,KEPT
granulomatosis,SURFACE,1,0.025,KEPT
granulomatous,SURFACE,1,0.025,KEPT
granulomatous conditions,SURFACE,1,0.025,KEPT
granulomatous disease,SURFACE,1,0.025,KEPT
granulomatous diseases,SURFACE,1,0.025,KEPT
granulomatous lymphocytic interstitial lung disease,SURFACE,1,0.025,KEPT
gravida 2 para,SURFACE,1,0.025,KEPT
great!,SURFACE,1,0.025,KEPT
gripped hands,SURFACE,1,0.025,KEPT
gross motor quotient,SURFACE,1,0.025,KEPT
ground-glass,SURFACE,1,0.025,KEPT
group's,SURFACE,1,0.025,KEPT
group’s thoughts,SURFACE,1,0.025,KEPT
grow,SURFACE,1,0.025,KEPT
grows,SURFACE,1,0.025,KEPT
growth abnormalities,SURFACE,1,0.025,KEPT
growth anomalies,SURFACE,1,0.025,KEPT
growth asymmetry,SURFACE,1,0.025,KEPT
growth characteristics,SURFACE,1,0.025,KEPT
growth concerns,SURFACE,1,0.025,KEPT
growth deficiencies,SURFACE,1,0.025,KEPT
growth delay,SURFACE,1,0.025,KEPT
growth delays,SURFACE,1,0.025,KEPT
growth disorders,SURFACE,1,0.025,KEPT
growth dynamics,SURFACE,1,0.025,KEPT
growth failure,SURFACE,1,0.025,KEPT
growth history,SURFACE,1,0.025,KEPT
growth hormone deficiency,SURFACE,1,0.025,KEPT
growth hormone stimulation test,SURFACE,1,0.025,KEPT
growth pattern,SURFACE,1,0.025,KEPT
growth problems,SURFACE,1,0.025,KEPT
growth retardation,SURFACE,1,0.025,KEPT
growth slowing,SURFACE,1,0.025,KEPT
grs,SURFACE,1,0.025,KEPT
guidelines,SURFACE,1,0.025,KEPT
guides,SURFACE,1,0.025,KEPT
hae,SURFACE,1,0.025,KEPT
hae**,SURFACE,1,0.025,KEPT
haematological,SURFACE,1,0.025,KEPT
haemogram,SURFACE,1,0.025,KEPT
hair,SURFACE,1,0.025,KEPT
half-brother,SURFACE,1,0.025,KEPT
half-life,SURFACE,1,0.025,KEPT
hallmark,SURFACE,1,0.025,KEPT
hallucination,SURFACE,1,0.025,KEPT
halting recurrent vascular events,SURFACE,1,0.025,KEPT
hand anomalies,SURFACE,1,0.025,KEPT
hand deformities,SURFACE,1,0.025,KEPT
hand morphology,SURFACE,1,0.025,KEPT
hand/wrist,SURFACE,1,0.025,KEPT
"hands.\"",\n\n  \""past medical history\",SURFACE,1,0.025,KEPT
happen,SURFACE,1,0.025,KEPT
hard palate,SURFACE,1,0.025,KEPT
hasan sadikin hospital,SURFACE,1,0.025,KEPT
hba1c,SURFACE,1,0.025,KEPT
hcg,SURFACE,1,0.025,KEPT
head impulse tests,SURFACE,1,0.025,KEPT
head position,SURFACE,1,0.025,KEPT
headache,SURFACE,1,0.025,KEPT
headaches,SURFACE,1,0.025,KEPT
health assessment,SURFACE,1,0.025,KEPT
health challenges,SURFACE,1,0.025,KEPT
health conditions,SURFACE,1,0.025,KEPT
health considerations,SURFACE,1,0.025,KEPT
health context,SURFACE,1,0.025,KEPT
health discussions,SURFACE,1,0.025,KEPT
health management,SURFACE,1,0.025,KEPT
health outcomes,SURFACE,1,0.025,KEPT
health patterns,SURFACE,1,0.025,KEPT
health risks,SURFACE,1,0.025,KEPT
health service,SURFACE,1,0.025,KEPT
health trajectory,SURFACE,1,0.025,KEPT
"health.\"",\n  \""initial test results\",SURFACE,1,0.025,KEPT
"health.\"",\n  \""physical",SURFACE,1,0.025,KEPT
"health.\"",\n\n  \""initial test results\",SURFACE,1,0.025,KEPT
healthcare,SURFACE,1,0.025,KEPT
healthcare interventions,SURFACE,1,0.025,KEPT
healthcare providers,SURFACE,1,0.025,KEPT
hear confirmations,SURFACE,1,0.025,KEPT
"hearing aids.\"",\n\n",SURFACE,1,0.025,KEPT
hearing difficulties,SURFACE,1,0.025,KEPT
hearing problems,SURFACE,1,0.025,KEPT
heart function,SURFACE,1,0.025,KEPT
heart function assessment,SURFACE,1,0.025,KEPT
heart rate,SURFACE,1,0.025,KEPT
heart structure,SURFACE,1,0.025,KEPT
heart valves,SURFACE,1,0.025,KEPT
heartening,SURFACE,1,0.025,KEPT
heavier,SURFACE,1,0.025,KEPT
heds,SURFACE,1,0.025,KEPT
height issues,SURFACE,1,0.025,KEPT
height measurements,SURFACE,1,0.025,KEPT
height sds,SURFACE,1,0.025,KEPT
height velocity,SURFACE,1,0.025,KEPT
helping visualize,SURFACE,1,0.025,KEPT
hemangioma,SURFACE,1,0.025,KEPT
hemangiomas,SURFACE,1,0.025,KEPT
hematochezia,SURFACE,1,0.025,KEPT
hematocolpos,SURFACE,1,0.025,KEPT
"hematocolpos.\""\n",SURFACE,1,0.025,KEPT
hematocolpos/hematometra,SURFACE,1,0.025,KEPT
hematocolpos/hematometra presentation,SURFACE,1,0.025,KEPT
hematocrit,SURFACE,1,0.025,KEPT
hematological disorders,SURFACE,1,0.025,KEPT
hematological malignancies,SURFACE,1,0.025,KEPT
hematological testing,SURFACE,1,0.025,KEPT
hematologist,SURFACE,1,0.025,KEPT
hematology,SURFACE,1,0.025,KEPT
hematometra,SURFACE,1,0.025,KEPT
hematometra support,SURFACE,1,0.025,KEPT
hemifacial microsomia,SURFACE,1,0.025,KEPT
hemodynamic behaviors,SURFACE,1,0.025,KEPT
hemodynamic change,SURFACE,1,0.025,KEPT
hemoglobin,SURFACE,1,0.025,KEPT
hemoglobin tests,SURFACE,1,0.025,KEPT
hemoptysis**,SURFACE,1,0.025,KEPT
hemorrhage,SURFACE,1,0.025,KEPT
hemorrhagic,SURFACE,1,0.025,KEPT
hemorrhagic processes,SURFACE,1,0.025,KEPT
hemorrhagic strokes,SURFACE,1,0.025,KEPT
hepatic change,SURFACE,1,0.025,KEPT
hepatic fibrosis,SURFACE,1,0.025,KEPT
hepatic function,SURFACE,1,0.025,KEPT
hepatitis panel,SURFACE,1,0.025,KEPT
hepatomegaly,SURFACE,1,0.025,KEPT
her body mass index,SURFACE,1,0.025,KEPT
hereditary angioedema,SURFACE,1,0.025,KEPT
hereditary ataxia,SURFACE,1,0.025,KEPT
hereditary ataxias**,SURFACE,1,0.025,KEPT
hereditary autoinflammatory conditions,SURFACE,1,0.025,KEPT
hereditary breast,SURFACE,1,0.025,KEPT
hereditary cancer,SURFACE,1,0.025,KEPT
hereditary cancer syndrome,SURFACE,1,0.025,KEPT
hereditary cancer syndromes**,SURFACE,1,0.025,KEPT
hereditary components,SURFACE,1,0.025,KEPT
hereditary concerns,SURFACE,1,0.025,KEPT
hereditary dyslipidemias,SURFACE,1,0.025,KEPT
hereditary kidney diseases,SURFACE,1,0.025,KEPT
hereditary kidney disorders,SURFACE,1,0.025,KEPT
hereditary macular dystrophies,SURFACE,1,0.025,KEPT
hereditary nephropathies,SURFACE,1,0.025,KEPT
hereditary risks,SURFACE,1,0.025,KEPT
hereditary syndromes**,SURFACE,1,0.025,KEPT
hereditary thrombophilia,SURFACE,1,0.025,KEPT
heredity,SURFACE,1,0.025,KEPT
heritable epilepsy,SURFACE,1,0.025,KEPT
herpes simplex virus,SURFACE,1,0.025,KEPT
hesitate,SURFACE,1,0.025,KEPT
heterozygous,SURFACE,1,0.025,KEPT
hexosaminidase a deficiency,SURFACE,1,0.025,KEPT
hg19,SURFACE,1,0.025,KEPT
hidden,SURFACE,1,0.025,KEPT
hidden abnormalities,SURFACE,1,0.025,KEPT
hidden endocrine disorders,SURFACE,1,0.025,KEPT
hidden infectious,SURFACE,1,0.025,KEPT
hidden inflammatory sites,SURFACE,1,0.025,KEPT
hids,SURFACE,1,0.025,KEPT
high bilirubin,SURFACE,1,0.025,KEPT
high blood pressure,SURFACE,1,0.025,KEPT
high-arched palate,SURFACE,1,0.025,KEPT
high-density lipoprotein 25,SURFACE,1,0.025,KEPT
high-dose,SURFACE,1,0.025,KEPT
high-dose steroids,SURFACE,1,0.025,KEPT
high-grade,SURFACE,1,0.025,KEPT
high-grade fever,SURFACE,1,0.025,KEPT
high-grade fevers,SURFACE,1,0.025,KEPT
high-pitched voice,SURFACE,1,0.025,KEPT
high-priority diagnostic test,SURFACE,1,0.025,KEPT
high-priority test,SURFACE,1,0.025,KEPT
high-quality,SURFACE,1,0.025,KEPT
high-resolution ct,SURFACE,1,0.025,KEPT
high-resolution ct scan**,SURFACE,1,0.025,KEPT
high-resolution ct scan** next,SURFACE,1,0.025,KEPT
high-resolution imaging**,SURFACE,1,0.025,KEPT
high-risk family members,SURFACE,1,0.025,KEPT
highlighting areas,SURFACE,1,0.025,KEPT
hilar lymphadenopathy,SURFACE,1,0.025,KEPT
hilar shadow,SURFACE,1,0.025,KEPT
himself,SURFACE,1,0.025,KEPT
hip ultrasound,SURFACE,1,0.025,KEPT
"hip ultrasound.\"",\n  \""past medical history\",SURFACE,1,0.025,KEPT
hips,SURFACE,1,0.025,KEPT
his birth weight,SURFACE,1,0.025,KEPT
his body temperature,SURFACE,1,0.025,KEPT
histological analysis,SURFACE,1,0.025,KEPT
histological examination** –,SURFACE,1,0.025,KEPT
histological samples,SURFACE,1,0.025,KEPT
histopathological examination**,SURFACE,1,0.025,KEPT
historical,SURFACE,1,0.025,KEPT
historical factors,SURFACE,1,0.025,KEPT
historical representation,SURFACE,1,0.025,KEPT
histories,SURFACE,1,0.025,KEPT
history align,SURFACE,1,0.025,KEPT
history procurement,SURFACE,1,0.025,KEPT
history-taking,SURFACE,1,0.025,KEPT
history-taking approach,SURFACE,1,0.025,KEPT
hla-drb1,SURFACE,1,0.025,KEPT
hodgkin's,SURFACE,1,0.025,KEPT
hodgkin's lymphoma,SURFACE,1,0.025,KEPT
holistic autopsy approach**,SURFACE,1,0.025,KEPT
holistic care plan,SURFACE,1,0.025,KEPT
holoprosencephaly,SURFACE,1,0.025,KEPT
homocystinuria,SURFACE,1,0.025,KEPT
homozygotes,SURFACE,1,0.025,KEPT
homozygous,SURFACE,1,0.025,KEPT
hone,SURFACE,1,0.025,KEPT
hormonal analysis,SURFACE,1,0.025,KEPT
hormonal changes,SURFACE,1,0.025,KEPT
hormonal conditions,SURFACE,1,0.025,KEPT
hormonal evaluations**,SURFACE,1,0.025,KEPT
hormonal function,SURFACE,1,0.025,KEPT
hormonal imbalance**,SURFACE,1,0.025,KEPT
hormonal profile assessment,SURFACE,1,0.025,KEPT
hormonal profile leans,SURFACE,1,0.025,KEPT
hormonal profile post-surgery,SURFACE,1,0.025,KEPT
hormonal profiling,SURFACE,1,0.025,KEPT
hormonal status,SURFACE,1,0.025,KEPT
hormone analysis,SURFACE,1,0.025,KEPT
hormone deficiencies,SURFACE,1,0.025,KEPT
hormone dysregulation,SURFACE,1,0.025,KEPT
hormone elevation,SURFACE,1,0.025,KEPT
hormone profile,SURFACE,1,0.025,KEPT
hormone profiles,SURFACE,1,0.025,KEPT
hormone-related,SURFACE,1,0.025,KEPT
hormone-related concerns,SURFACE,1,0.025,KEPT
hospital admission,SURFACE,1,0.025,KEPT
hospital visit,SURFACE,1,0.025,KEPT
"hospital.\"",\n  \""clinical",SURFACE,1,0.025,KEPT
hsg,SURFACE,1,0.025,KEPT
hsv,SURFACE,1,0.025,KEPT
human chorionic gonadotropin,SURFACE,1,0.025,KEPT
human reference genome,SURFACE,1,0.025,KEPT
humidity changes,SURFACE,1,0.025,KEPT
humoral immunity,SURFACE,1,0.025,KEPT
hunan,SURFACE,1,0.025,KEPT
hydrocephalus,SURFACE,1,0.025,KEPT
hydronephrosis,SURFACE,1,0.025,KEPT
hymen,SURFACE,1,0.025,KEPT
hyper-igd syndrome,SURFACE,1,0.025,KEPT
hyper-ige syndrome,SURFACE,1,0.025,KEPT
hyper-igm syndrome,SURFACE,1,0.025,KEPT
hyperaldosteronism,SURFACE,1,0.025,KEPT
hyperautofluorescence,SURFACE,1,0.025,KEPT
hypercholesterolemia,SURFACE,1,0.025,KEPT
hyperdivergent,SURFACE,1,0.025,KEPT
hyperextensibility,SURFACE,1,0.025,KEPT
hyperfluorescence,SURFACE,1,0.025,KEPT
hyperglycemia,SURFACE,1,0.025,KEPT
hyperkalemia,SURFACE,1,0.025,KEPT
hyperlactacidemia,SURFACE,1,0.025,KEPT
hyperlipidemia,SURFACE,1,0.025,KEPT
hypermetabolic,SURFACE,1,0.025,KEPT
hypermobile,SURFACE,1,0.025,KEPT
hypermobile ehlers-danlos syndrome,SURFACE,1,0.025,KEPT
hypermobile type,SURFACE,1,0.025,KEPT
"hypertension.\"",\n  \""initial test results\",SURFACE,1,0.025,KEPT
hyperthermia,SURFACE,1,0.025,KEPT
hyperthermia**,SURFACE,1,0.025,KEPT
hyperthermia** – given,SURFACE,1,0.025,KEPT
hyperthermia**.,SURFACE,1,0.025,KEPT
hypertrophy,SURFACE,1,0.025,KEPT
hyperuricemia,SURFACE,1,0.025,KEPT
hypoautofluorescence,SURFACE,1,0.025,KEPT
hypocalcemia,SURFACE,1,0.025,KEPT
hypochondrogenesis,SURFACE,1,0.025,KEPT
hypodysplastic,SURFACE,1,0.025,KEPT
hypogonadal state,SURFACE,1,0.025,KEPT
hypogonadotropic hypogonadism,SURFACE,1,0.025,KEPT
hypogonadotropic hypogonadism**,SURFACE,1,0.025,KEPT
hypokalemia,SURFACE,1,0.025,KEPT
hypopituitarism,SURFACE,1,0.025,KEPT
hypopituitarism**,SURFACE,1,0.025,KEPT
hypoplastic,SURFACE,1,0.025,KEPT
hypoplastic left heart syndrome**,SURFACE,1,0.025,KEPT
hypostasis,SURFACE,1,0.025,KEPT
hypothermia,SURFACE,1,0.025,KEPT
hypothermia** –,SURFACE,1,0.025,KEPT
hypothermia/environmental exposure** –,SURFACE,1,0.025,KEPT
hypothermic,SURFACE,1,0.025,KEPT
hypothesized immunodeficiency,SURFACE,1,0.025,KEPT
hypothetical,SURFACE,1,0.025,KEPT
hypothetical case,SURFACE,1,0.025,KEPT
hypothetical scenario,SURFACE,1,0.025,KEPT
hypoxia,SURFACE,1,0.025,KEPT
hypoxic-ischemic changes,SURFACE,1,0.025,KEPT
hysterosalpingography,SURFACE,1,0.025,KEPT
hz alpha rhythm,SURFACE,1,0.025,KEPT
i align,SURFACE,1,0.025,KEPT
i am confident,SURFACE,1,0.025,KEPT
i appreciate,SURFACE,1,0.025,KEPT
i commend,SURFACE,1,0.025,KEPT
i emphasize,SURFACE,1,0.025,KEPT
i encourage,SURFACE,1,0.025,KEPT
i endorse,SURFACE,1,0.025,KEPT
